Baseline File,Other File,Baseline ID,Other ID,Compatibility
01p07/data/01p07nea.sgy,06p07/data/06p07nea.sgy,01p07,06p07,✅ Compatible
01p07/data/01p07nea.sgy,01p01/data/01p01nea.sgy,01p07,01p01,⚠️ Maybe Mismatched
01p07/data/01p07nea.sgy,08p08/data/08p08nea.sgy,01p07,08p08,❌ Incompatible
04p07/data/04p07nea.sgy,10p10/data/10p10nea.sgy,04p07,10p10,❌ Incompatible
04p07/data/04p07nea.sgy,94p10/data/94p10nea.sgy,04p07,94p10,❌ Incompatible
04p07/data/04p07nea.sgy,99p01/data/99p01nea.sgy,04p07,99p01,❌ Incompatible
04p07/data/04p07nea.sgy,94p08/data/94p08nea.sgy,04p07,94p08,❌ Incompatible
04p07/data/04p07nea.sgy,01p07/data/01p07nea.sgy,04p07,01p07,✅ Compatible
04p07/data/04p07nea.sgy,94p01/data/94p01nea.sgy,04p07,94p01,❌ Incompatible
04p07/data/04p07nea.sgy,10p11/data/10p11nea.sgy,04p07,10p11,❌ Incompatible
04p07/data/04p07nea.sgy,94p07/data/94p07nea.sgy,04p07,94p07,✅ Compatible
04p07/data/04p07nea.sgy,06p07/data/06p07nea.sgy,04p07,06p07,✅ Compatible
04p07/data/04p07nea.sgy,01p01/data/01p01nea.sgy,04p07,01p01,❌ Incompatible
04p07/data/04p07nea.sgy,08p08/data/08p08nea.sgy,04p07,08p08,❌ Incompatible
94p01/data/94p01nea.sgy,10p10/data/10p10nea.sgy,94p01,10p10,❌ Incompatible
94p01/data/94p01nea.sgy,94p10/data/94p10nea.sgy,94p01,94p10,❌ Incompatible
94p01/data/94p01nea.sgy,99p01/data/99p01nea.sgy,94p01,99p01,✅ Compatible
94p01/data/94p01nea.sgy,94p08/data/94p08nea.sgy,94p01,94p08,❌ Incompatible
94p01/data/94p01nea.sgy,01p07/data/01p07nea.sgy,94p01,01p07,⚠️ Maybe Mismatched
94p01/data/94p01nea.sgy,04p07/data/04p07nea.sgy,94p01,04p07,❌ Incompatible
94p01/data/94p01nea.sgy,10p11/data/10p11nea.sgy,94p01,10p11,❌ Incompatible
94p01/data/94p01nea.sgy,94p07/data/94p07nea.sgy,94p01,94p07,❌ Incompatible
94p01/data/94p01nea.sgy,06p07/data/06p07nea.sgy,94p01,06p07,❌ Incompatible
94p01/data/94p01nea.sgy,01p01/data/01p01nea.sgy,94p01,01p01,✅ Compatible
94p01/data/94p01nea.sgy,08p08/data/08p08nea.sgy,94p01,08p08,❌ Incompatible
10p11/data/10p11nea.sgy,10p10/data/10p10nea.sgy,10p11,10p10,⚠️ Maybe Mismatched
10p11/data/10p11nea.sgy,94p10/data/94p10nea.sgy,10p11,94p10,⚠️ Maybe Mismatched
10p11/data/10p11nea.sgy,99p01/data/99p01nea.sgy,10p11,99p01,❌ Incompatible
10p11/data/10p11nea.sgy,94p08/data/94p08nea.sgy,10p11,94p08,❌ Incompatible
10p11/data/10p11nea.sgy,01p07/data/01p07nea.sgy,10p11,01p07,❌ Incompatible
10p11/data/10p11nea.sgy,04p07/data/04p07nea.sgy,10p11,04p07,❌ Incompatible
10p11/data/10p11nea.sgy,94p01/data/94p01nea.sgy,10p11,94p01,❌ Incompatible
10p11/data/10p11nea.sgy,94p07/data/94p07nea.sgy,10p11,94p07,❌ Incompatible
10p11/data/10p11nea.sgy,06p07/data/06p07nea.sgy,10p11,06p07,❌ Incompatible
10p11/data/10p11nea.sgy,01p01/data/01p01nea.sgy,10p11,01p01,❌ Incompatible
10p11/data/10p11nea.sgy,08p08/data/08p08nea.sgy,10p11,08p08,❌ Incompatible
94p07/data/94p07nea.sgy,10p10/data/10p10nea.sgy,94p07,10p10,❌ Incompatible
94p07/data/94p07nea.sgy,94p10/data/94p10nea.sgy,94p07,94p10,❌ Incompatible
94p07/data/94p07nea.sgy,99p01/data/99p01nea.sgy,94p07,99p01,❌ Incompatible
94p07/data/94p07nea.sgy,94p08/data/94p08nea.sgy,94p07,94p08,❌ Incompatible
94p07/data/94p07nea.sgy,01p07/data/01p07nea.sgy,94p07,01p07,✅ Compatible
94p07/data/94p07nea.sgy,04p07/data/04p07nea.sgy,94p07,04p07,✅ Compatible
94p07/data/94p07nea.sgy,94p01/data/94p01nea.sgy,94p07,94p01,❌ Incompatible
94p07/data/94p07nea.sgy,10p11/data/10p11nea.sgy,94p07,10p11,❌ Incompatible
94p07/data/94p07nea.sgy,06p07/data/06p07nea.sgy,94p07,06p07,✅ Compatible
94p07/data/94p07nea.sgy,01p01/data/01p01nea.sgy,94p07,01p01,❌ Incompatible
94p07/data/94p07nea.sgy,08p08/data/08p08nea.sgy,94p07,08p08,❌ Incompatible
06p07/data/06p07nea.sgy,10p10/data/10p10nea.sgy,06p07,10p10,❌ Incompatible
06p07/data/06p07nea.sgy,94p10/data/94p10nea.sgy,06p07,94p10,❌ Incompatible
06p07/data/06p07nea.sgy,99p01/data/99p01nea.sgy,06p07,99p01,❌ Incompatible
06p07/data/06p07nea.sgy,94p08/data/94p08nea.sgy,06p07,94p08,❌ Incompatible
06p07/data/06p07nea.sgy,01p07/data/01p07nea.sgy,06p07,01p07,✅ Compatible
06p07/data/06p07nea.sgy,04p07/data/04p07nea.sgy,06p07,04p07,✅ Compatible
06p07/data/06p07nea.sgy,94p01/data/94p01nea.sgy,06p07,94p01,❌ Incompatible
06p07/data/06p07nea.sgy,10p11/data/10p11nea.sgy,06p07,10p11,❌ Incompatible
06p07/data/06p07nea.sgy,94p07/data/94p07nea.sgy,06p07,94p07,✅ Compatible
06p07/data/06p07nea.sgy,01p01/data/01p01nea.sgy,06p07,01p01,❌ Incompatible
06p07/data/06p07nea.sgy,08p08/data/08p08nea.sgy,06p07,08p08,❌ Incompatible
01p01/data/01p01nea.sgy,10p10/data/10p10nea.sgy,01p01,10p10,❌ Incompatible
01p01/data/01p01nea.sgy,94p10/data/94p10nea.sgy,01p01,94p10,❌ Incompatible
01p01/data/01p01nea.sgy,99p01/data/99p01nea.sgy,01p01,99p01,✅ Compatible
01p01/data/01p01nea.sgy,94p08/data/94p08nea.sgy,01p01,94p08,❌ Incompatible
01p01/data/01p01nea.sgy,01p07/data/01p07nea.sgy,01p01,01p07,⚠️ Maybe Mismatched
01p01/data/01p01nea.sgy,04p07/data/04p07nea.sgy,01p01,04p07,❌ Incompatible
01p01/data/01p01nea.sgy,94p01/data/94p01nea.sgy,01p01,94p01,✅ Compatible
01p01/data/01p01nea.sgy,10p11/data/10p11nea.sgy,01p01,10p11,❌ Incompatible
01p01/data/01p01nea.sgy,94p07/data/94p07nea.sgy,01p01,94p07,❌ Incompatible
01p01/data/01p01nea.sgy,06p07/data/06p07nea.sgy,01p01,06p07,❌ Incompatible
01p01/data/01p01nea.sgy,08p08/data/08p08nea.sgy,01p01,08p08,❌ Incompatible
08p08/data/08p08nea.sgy,10p10/data/10p10nea.sgy,08p08,10p10,❌ Incompatible
08p08/data/08p08nea.sgy,94p10/data/94p10nea.sgy,08p08,94p10,❌ Incompatible
08p08/data/08p08nea.sgy,99p01/data/99p01nea.sgy,08p08,99p01,❌ Incompatible
08p08/data/08p08nea.sgy,94p08/data/94p08nea.sgy,08p08,94p08,✅ Compatible
08p08/data/08p08nea.sgy,01p07/data/01p07nea.sgy,08p08,01p07,❌ Incompatible
08p08/data/08p08nea.sgy,04p07/data/04p07nea.sgy,08p08,04p07,❌ Incompatible
08p08/data/08p08nea.sgy,94p01/data/94p01nea.sgy,08p08,94p01,❌ Incompatible
08p08/data/08p08nea.sgy,10p11/data/10p11nea.sgy,08p08,10p11,❌ Incompatible
08p08/data/08p08nea.sgy,94p07/data/94p07nea.sgy,08p08,94p07,❌ Incompatible
08p08/data/08p08nea.sgy,06p07/data/06p07nea.sgy,08p08,06p07,❌ Incompatible
08p08/data/08p08nea.sgy,01p01/data/01p01nea.sgy,08p08,01p01,❌ Incompatible
